Date,Year,Quarter,Date2,Private Inventories
2009-01-01,2009,1,2009 Q1,-0.65%
2009-04-01,2009,2,2009 Q2,-1.19%
2009-07-01,2009,3,2009 Q3,-1.75%
2009-10-01,2009,4,2009 Q4,2.12%
2010-01-01,2010,1,2010 Q1,2.35%
2010-04-01,2010,2,2010 Q2,1.44%
2010-07-01,2010,3,2010 Q3,2.00%
2010-10-01,2010,4,2010 Q4,1.78%
2011-01-01,2011,1,2011 Q1,-1.29%
2011-04-01,2011,2,2011 Q2,0.00%
2011-07-01,2011,3,2011 Q3,-0.43%
2011-10-01,2011,4,2011 Q4,-0.76%
2012-01-01,2012,1,2012 Q1,2.00%
2012-04-01,2012,2,2012 Q2,-0.78%
2012-07-01,2012,3,2012 Q3,0.89%
2012-10-01,2012,4,2012 Q4,-0.75%
2013-01-01,2013,1,2013 Q1,-0.91%
2013-04-01,2013,2,2013 Q2,0.03%
2013-07-01,2013,3,2013 Q3,0.94%
2013-10-01,2013,4,2013 Q4,1.35%
2014-01-01,2014,1,2014 Q1,-0.72%
2014-04-01,2014,2,2014 Q2,-0.67%
2014-07-01,2014,3,2014 Q3,0.19%
2014-10-01,2014,4,2014 Q4,0.08%
2015-01-01,2015,1,2015 Q1,-0.32%
2015-04-01,2015,2,2015 Q2,1.83%
2015-07-01,2015,3,2015 Q3,-1.38%
2015-10-01,2015,4,2015 Q4,-0.42%
2016-01-01,2016,1,2016 Q1,-0.32%
2016-04-01,2016,2,2016 Q2,0.24%
2016-07-01,2016,3,2016 Q3,-1.50%
2016-10-01,2016,4,2016 Q4,0.31%
2017-01-01,2017,1,2017 Q1,0.53%
2017-04-01,2017,2,2017 Q2,-0.88%
2017-07-01,2017,3,2017 Q3,1.42%
2017-10-01,2017,4,2017 Q4,-0.51%
2018-01-01,2018,1,2018 Q1,0.49%
2018-04-01,2018,2,2018 Q2,-0.61%
2018-07-01,2018,3,2018 Q3,0.66%
2018-10-01,2018,4,2018 Q4,0.98%
2019-01-01,2019,1,2019 Q1,0.31%
2019-04-01,2019,2,2019 Q2,-0.36%
2019-07-01,2019,3,2019 Q3,-0.69%
2019-10-01,2019,4,2019 Q4,-0.24%
2020-01-01,2020,1,2020 Q1,-1.21%
2020-04-01,2020,2,2020 Q2,-3.35%
2020-07-01,2020,3,2020 Q3,1.32%
2020-10-01,2020,4,2020 Q4,4.34%
2021-01-01,2021,1,2021 Q1,1.06%
2021-04-01,2021,2,2021 Q2,-0.87%
2021-07-01,2021,3,2021 Q3,1.67%
2021-10-01,2021,4,2021 Q4,2.65%
2022-01-01,2022,1,2022 Q1,3.48%
2022-04-01,2022,2,2022 Q2,-0.98%
2022-07-01,2022,3,2022 Q3,-2.49%
2022-10-01,2022,4,2022 Q4,-0.82%
2023-01-01,2023,1,2023 Q1,0.16%
2023-04-01,2023,2,2023 Q2,-1.46%
2023-07-01,2023,3,2023 Q3,0.40%
2023-10-01,2023,4,2023 Q4,0.18%
2024-01-01,2024,1,2024 Q1,-0.06%
2024-04-01,2024,2,2024 Q2,0.20%
2024-07-01,2024,3,2024 Q3,0.53%
2024-10-01,2024,4,2024 Q4,-0.76%
2025-01-01,2025,1,2025 Q1,0.14%
2025-04-01,2025,2,2025 Q2,1.01%
2025-07-01,2025,3,2025 Q3,-1.74%
2025-10-01,2025,4,2025 Q4,0.77%
2026-01-01,2026,1,2026 Q1,-0.22%
