,,,,,,,
,,,,,,,
,Atlas Analytics Price Targets: GDP-Based,,,,,,
,"As of Market Close on March 20, 2026",,,,,,
,,,,,,,
,ETF,Atlas Analytics' Target,Current Trading Price,Deviation,,,
,XLK, $155.01 , $135.29 ,-12.7%,,,
,XLF, $53.26 , $49.08 ,-7.8%,,,
,XLI, $155.70 , $161.67 ,3.8%,,,
,XLRE, $43.43 , $40.59 ,-6.5%,,`,
,SPY, $652.43 , $648.57 ,-0.6%,,,
,QQQ, $644.65 , $582.06 ,-9.7%,,,
,DIA, $508.07 , $455.89 ,-10.3%,,,
,IWM, $269.24 , $242.22 ,-10.0%,,,
,IWV, $376.35 , $368.52 ,-2.1%,,,
,,,,,,,
,Atlas Analytics Price Targets: Core GDP-Based,,,,,,
,"As of Market Close on March 20, 2026",,,,,,
,,,,,,,
,ETF,Atlas Analytics' Target,Current Trading Price,Deviation,,,
,XLK, $142.84 , $135.29 ,-5.3%,,,
,XLF, $53.99 , $49.08 ,-9.1%,,,
,XLI, $157.35 , $161.67 ,2.7%,,,
,XLRE, $44.73 , $40.59 ,-9.3%,,,
,SPY, $684.13 , $648.57 ,-5.2%,,,
,QQQ, $685.89 , $582.06 ,-15.1%,,,
,DIA, $512.85 , $455.89 ,-11.1%,,,
,IWM, $264.46 , $242.22 ,-8.4%,,,
,IWV, $381.52 , $368.52 ,-3.4%,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
